year,variable,metric,estimate,share
2017,ACURA,Hybrid Electric Vehicle,25,0.011353315168029064
2017,BAODIAO,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,BMW,Battery Electric Vehicle,106,0.021052631578947368
2017,BMW,Hybrid Electric Vehicle,123,0.055858310626702996
2017,BUICK,Hybrid Electric Vehicle,3,0.0013623978201634877
2017,CADILLAC,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,CADILLAC,Hybrid Electric Vehicle,4,0.0018165304268846503
2017,CHEVROLET,Battery Electric Vehicle,720,0.14299900695134063
2017,CHEVROLET,Hybrid Electric Vehicle,50,0.022706630336058128
2017,CORBIN MOTORS,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,DODGE,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,FIAT,Battery Electric Vehicle,177,0.03515392254220457
2017,FISKER AUTOMOTIVE,Hybrid Electric Vehicle,5,0.002270663033605813
2017,FORD,Battery Electric Vehicle,99,0.019662363455809333
2017,FORD,Hybrid Electric Vehicle,51,0.02316076294277929
2017,GEM,Battery Electric Vehicle,4,7.944389275074479e-4
2017,GMC,Battery Electric Vehicle,5,9.930486593843098e-4
2017,GMC,Hybrid Electric Vehicle,12,0.005449591280653951
2017,HARLEY DAVIDSON,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,HONDA,Battery Electric Vehicle,3,5.958291956305859e-4
2017,HONDA,Hybrid Electric Vehicle,267,0.12125340599455041
2017,KIA,Battery Electric Vehicle,285,0.05660377358490566
2017,LEXUS,Hybrid Electric Vehicle,28,0.012715712988192553
2017,LINCOLN,Hybrid Electric Vehicle,5,0.002270663033605813
2017,MAZDA,Battery Electric Vehicle,2,3.9721946375372393e-4
2017,MERCEDES-BENZ,Battery Electric Vehicle,15,0.0029791459781529296
2017,MITSUBISHI,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,NANFANG SPACE NAVIGATION SCIENCE & TECHNOLOGY,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,NISSAN,Battery Electric Vehicle,1933,0.3839126117179742
2017,NISSAN,Hybrid Electric Vehicle,14,0.006357856494096276
2017,POLARIS,Battery Electric Vehicle,2,3.9721946375372393e-4
2017,PORSCHE,Hybrid Electric Vehicle,4,0.0018165304268846503
2017,"QINGQI, SSR, PIONEER, HARDKNOCK",Battery Electric Vehicle,1,1.9860973187686197e-4
2017,RAM,Battery Electric Vehicle,11,0.0021847070506454814
2017,SATURN,Hybrid Electric Vehicle,5,0.002270663033605813
2017,SMART,Battery Electric Vehicle,73,0.014498510427010924
2017,TESLA,Battery Electric Vehicle,1490,0.2959285004965243
2017,TOYOTA,Battery Electric Vehicle,32,0.006355511420059583
2017,TOYOTA,Hybrid Electric Vehicle,1598,0.7257039055404177
2017,VICTORY,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,VOLKSWAGEN,Battery Electric Vehicle,40,0.007944389275074478
2017,VOLKSWAGEN,Hybrid Electric Vehicle,8,0.0036330608537693005
2017,Z ELECTRIC VEHICLE CORPORATION,Battery Electric Vehicle,1,1.9860973187686197e-4
2017,ZERO MOTORCYCLES,Battery Electric Vehicle,28,0.005561072492552135
2018,ACURA,Hybrid Electric Vehicle,5,0.0022461814914645105
2018,ALTA,Battery Electric Vehicle,4,5.524861878453039e-4
2018,AZURE DYNAMICS,Battery Electric Vehicle,1,1.3812154696132598e-4
2018,BAODIAO,Battery Electric Vehicle,1,1.3812154696132598e-4
2018,BMW,Battery Electric Vehicle,84,0.011602209944751382
2018,BMW,Hybrid Electric Vehicle,108,0.04851752021563342
2018,BUICK,Hybrid Electric Vehicle,2,8.984725965858042e-4
2018,CADILLAC,Hybrid Electric Vehicle,4,0.0017969451931716084
2018,CHEVROLET,Battery Electric Vehicle,601,0.0830110497237569
2018,CHEVROLET,Hybrid Electric Vehicle,40,0.017969451931716084
2018,"CHONGQING ZONGSHEN AUTOMOTIVE INDUSTRY CO., LTD.",Battery Electric Vehicle,1,1.3812154696132598e-4
2018,CHRYSLER,Hybrid Electric Vehicle,1,4.492362982929021e-4
2018,DODGE,Battery Electric Vehicle,5,6.906077348066298e-4
2018,DONGFANG,Battery Electric Vehicle,1,1.3812154696132598e-4
2018,FIAT,Battery Electric Vehicle,126,0.017403314917127072
2018,FORD,Battery Electric Vehicle,32,0.004419889502762431
2018,FORD,Hybrid Electric Vehicle,77,0.03459119496855346
2018,GMC,Battery Electric Vehicle,3,4.143646408839779e-4
2018,GMC,Hybrid Electric Vehicle,15,0.006738544474393531
